,Base,Sin adaptativo,Sin normativo,Sin afectivo,,,,,,, , , , , , 
Estudiante1_Matemáticas_S1,50,73,61,44,,,,,,, , , , , , 
Estudiante1_Matemáticas_S2,45,61,42,7,,,,,,, , , , , , 
Estudiante1_Matemáticas_S3,60,61,46,21,,,,,,, , , , , , 
Estudiante1_Matemáticas_S4,22,60,39,54,,,,,,, , , , , , 
Estudiante1_Matemáticas_S5,56,52,40,36,,,,,,, , , , , , 
Estudiante1_Estrés_S1,45,36,65,26,,,,,,, , , , , , 
Estudiante1_Estrés_S2,21,27,63,55,,,,,,, , , , , , 
Estudiante1_Estrés_S3,45,48,72,64,,,,,,, , , , , , 
Estudiante1_Estrés_S4,44,56,29,64,,,,,,, , , , , , 
Estudiante1_Estrés_S5,42,59,68,57,,,,,,, , , , , , 
Estudiante2_Matemáticas_S1,62,59,50,26,,,,,,, , , , , , 
Estudiante2_Matemáticas_S2,56,57,40,0,,,,,,, , , , , , 
Estudiante2_Matemáticas_S3,49,59,63,30,,,,,,, , , , , , 
Estudiante2_Matemáticas_S4,43,67,58,17,,,,,,, , , , , , 
Estudiante2_Matemáticas_S5,20,55,64,38,,,,,,, , , , , , 
Estudiante2_Estrés_S1,77,65,60,59,,,,,,, , , , , , 
Estudiante2_Estrés_S2,66,15,28,17,,,,,,, , , , , , 
Estudiante2_Estrés_S3,48,59,59,36,,,,,,, , , , , , 
Estudiante2_Estrés_S4,73,31,85,54,,,,,,, , , , , , 
Estudiante2_Estrés_S5,70,62,76,24,,,,,,, , , , , , 
Estudiante3_Matemáticas_S1,34,59,34,49,,,,,,,,,,,,
Estudiante3_Matemáticas_S2,38,65,39,17,,,,,,,,,,,,
Estudiante3_Matemáticas_S3,44,45,58,36,,,,,,,,,,,,
Estudiante3_Matemáticas_S4,87,46,51,55,,,,,,,,,,,,
Estudiante3_Matemáticas_S5,65,74,69,42,,,,,,,,,,,,
Estudiante3_Estrés_S1,74,58,66,43,,,,,,,,,,,,
Estudiante3_Estrés_S2,48,55,55,35,,,,,,,,,,,,
Estudiante3_Estrés_S3,66,57,51,33,,,,,,,,,,,,
Estudiante3_Estrés_S4,66,56,64,45,,,,,,,,,,,,
Estudiante3_Estrés_S5,65,68,61,42,,,,,,,,,,,,
